('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         819132 function calls (794845 primitive calls) in 3.462 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1356    0.000    0.000    0.000    0.000 _connection.py:212(their_state)
      488    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      320    0.000    0.000    0.001    0.000 enum.py:1152(__new__)
       32    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
      278    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
      105    0.000    0.000    0.001    0.000 enum.py:1055(_add_member_)
      787    0.000    0.000    0.000    0.000 _parser.py:82(groups)
        1    0.000    0.000    2.669    2.669 financial_enhanced.py:15(get_financial_data)
      686    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      295    0.000    0.000    0.001    0.000 _connection.py:352(receive_data)
      218    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
     22/8    0.000    0.000    0.001    0.000 inspect.py:2477(_signature_from_callable)
      260    0.000    0.000    0.001    0.000 _connection.py:330(_respond_to_state_changes)
     1696    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ssl.py:1361(_real_close)
       89    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      116    0.000    0.000    0.004    0.000 typing.py:1658(copy_with)
       89    0.000    0.000    0.000    0.000 dataclasses.py:437(add_fn)
      318    0.000    0.000    0.228    0.001 __init__.py:287(compile)
       65    0.000    0.000    0.026    0.000 filter.py:163(find_all)
      270    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      318    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      510    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      270    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
  540/333    0.000    0.000    0.001    0.000 typing.py:1443(__hash__)
      224    0.000    0.000    0.002    0.000 element.py:524(get_text)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
      130    0.000    0.000    0.000    0.000 filter.py:224(__init__)
        1    0.000    0.000    0.000    0.000 abc.py:16(ResourceReader)
     1063    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       69    0.000    0.000    0.002    0.000 css_parser.py:532(parse_tag_pattern)
        1    0.000    0.000    0.000    0.000 ssl.py:677(verify_mode)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      126    0.000    0.000    0.003    0.000 _htmlparser.py:285(handle_comment)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
    76/59    0.000    0.000    0.232    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      342    0.000    0.000    0.003    0.000 typing.py:789(<genexpr>)
      200    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       81    0.000    0.000    0.005    0.000 <frozen abc>:105(__new__)
       30    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      446    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      295    0.000    0.000    0.001    0.000 _receivebuffer.py:57(__bool__)
      270    0.000    0.000    0.001    0.000 typing.py:1122(_is_unpacked_typevartuple)
       65    0.000    0.000    0.027    0.000 element.py:1079(_find_all)
      454    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      590    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
      498    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
    42/16    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
      318    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      444    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       29    0.000    0.000    0.000    0.000 _receivebuffer.py:104(maybe_extract_lines)
      323    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      104    0.000    0.000    0.001    0.000 typing.py:351(_deduplicate)
        3    0.000    0.000    0.007    0.002 typing.py:2998(__new__)
      273    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      244    0.000    0.000    0.008    0.000 _decoders.py:95(decode)
      200    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
        2    0.000    0.000    0.001    0.000 typing.py:410(_tp_cache)
      814    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
       18    0.000    0.000    0.000    0.000 dataclasses.py:610(_init_fn)
